This is the menu data {'item_name': 'Chivas Regal 12 yrs 30ml', 'description': None, 'price': 575.22, 'group': 'Whisky', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Birthday Cake', 'description': None, 'price': 884.95, 'group': 'Birthday', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Meeting Combo', 'description': None, 'price': 7389.38, 'group': 'Buffet', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Coconut Bliss', 'description': None, 'price': 486.73, 'group': 'Mocktails', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Mangoficent', 'description': None, 'price': 486.73, 'group': 'Mocktails', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Santa Julia, Chenin Dulce', 'description': None, 'price': 3097.34, 'group': 'Wine', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Renas Day', 'description': None, 'price': 176.99, 'group': 'Birthday', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Birthday Charge', 'description': None, 'price': 88.49, 'group': 'Extra', 'thumbnail': None, 'discount_exempt': False, 'type': 'Beverage', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Three Cheese Toasties', 'description': None, 'price': 795.57, 'group': 'Mains', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Tuna Melt Sandwich', 'description': None, 'price': 716.81, 'group': 'Mains', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Feels Grain Bowl', 'description': None, 'price': 972.56, 'group': 'Mains', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Fire Bucket', 'description': None, 'price': 601.76, 'group': 'Snacks', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Quesdilla In Chicken', 'description': None, 'price': 663.71, 'group': 'Snacks', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Quesedilla In Mushroom', 'description': None, 'price': 663.71, 'group': 'Snacks', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Meat Balls', 'description': None, 'price': 530.08, 'group': 'Snacks', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Flat Bread with Drama', 'description': None, 'price': 1061.06, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Loaded Feels Sandwich', 'description': None, 'price': 765.48, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Avocado On Toast', 'description': None, 'price': 575.22, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'PBJ Sandwich', 'description': None, 'price': 486.72, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
This is the menu data {'item_name': 'Its Brekkie Wrap', 'description': None, 'price': 928.31, 'group': 'Brunch', 'thumbnail': None, 'discount_exempt': False, 'type': 'Food', 'outlet': 'corefood', 'image_bytes': None, 'delete_check': True} 
